Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
G22Trelo,com0.G22Trello,WorkspaceServiceTest,testCreateWorkspace_ValidUser,14,1,0,54,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,testCreateWorkspace_WorkspaceExists,14,1,0,83,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,updateWorkspaceTest_Valid,17,1,0,141,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,updateWorkspaceTest_InValid,10,1,0,169,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,addUserToWorkspaceTest_Valid,23,1,0,186,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,addUserToWorkspaceTest_InValidWorkspace,13,1,0,219,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,addUserToWorkspaceTest_InValidUser,13,1,0,238,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,addUserToWorkspaceTest_DuplicateAdding,21,1,0,260,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,deleteUserTest_Valid,18,1,0,304,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,deleteUserTest_InValidUser,12,1,0,334,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,deleteUserTest_InValidWorkspace,11,1,0,356,1,,
G22Trelo,com0.G22Trello,WorkspaceServiceTest,deleteUserTest_UserNotMember,16,1,0,375,1,,
G22Trelo,com0.G22Trello.controller,BoardController,createBoard,5,1,2,17,0,,
G22Trelo,com0.G22Trello.controller,BoardController,updateBoard,3,1,2,25,0,,
G22Trelo,com0.G22Trello.controller,BoardController,deleteBoard,3,1,1,30,0,,
G22Trelo,com0.G22Trello.controller,BoardController,getAllBoards,3,1,0,35,0,,
G22Trelo,com0.G22Trello.controller,BoardController,addUserToBoard,3,1,2,40,0,,
G22Trelo,com0.G22Trello.controller,BoardController,removeUserFromBoard,3,1,2,46,0,,
G22Trelo,com0.G22Trello.controller,HomeController,index,3,1,0,9,0,,
G22Trelo,com0.G22Trello.controller,TaskController,createTask,3,1,1,21,0,,
G22Trelo,com0.G22Trello.controller,TaskController,updateBoard,3,1,2,27,0,,
G22Trelo,com0.G22Trello.controller,TaskController,changeTaskStatus,3,1,2,32,0,,
G22Trelo,com0.G22Trello.controller,TaskController,assignMemberToTask,3,1,2,37,0,,
G22Trelo,com0.G22Trello.controller,UserController,updateUser,3,1,2,20,0,,
G22Trelo,com0.G22Trello.controller,UserController,getUserWorkspaces,3,1,1,30,0,,
G22Trelo,com0.G22Trello.controller,UserController,getUserBoards,3,1,1,35,0,,
G22Trelo,com0.G22Trello.controller,UserController,resetPassword,3,1,1,50,0,,
G22Trelo,com0.G22Trello.controller,UserController,logIn,3,1,1,55,0,,
G22Trelo,com0.G22Trello.controller,UserController,signUp,3,1,1,60,0,,
G22Trelo,com0.G22Trello.controller,WorkspaceController,createWorkspace,3,1,2,18,0,,
G22Trelo,com0.G22Trello.controller,WorkspaceController,updateWorkspace,3,1,2,23,0,,
G22Trelo,com0.G22Trello.controller,WorkspaceController,addUserToWorkspace,3,1,2,28,0,,
G22Trelo,com0.G22Trello.controller,WorkspaceController,deleteUserFromWorkspace,3,1,2,33,0,,
G22Trelo,com0.G22Trello.controller,WorkspaceController,getAllWorkspaces,3,1,0,38,0,,
G22Trelo,com0.G22Trello.model,Board,Board,8,1,5,20,0,,
G22Trelo,com0.G22Trello.model,Board,Board,7,1,3,29,0,,
G22Trelo,com0.G22Trello.model,Board,Board,2,1,0,46,0,,
G22Trelo,com0.G22Trello.model,Board,getWorkspace,3,1,0,50,0,,
G22Trelo,com0.G22Trello.model,Board,setWorkspace,3,1,1,54,0,,
G22Trelo,com0.G22Trello.model,Board,getTasks,3,1,0,58,0,,
G22Trelo,com0.G22Trello.model,Board,setTasks,3,1,1,62,0,,
G22Trelo,com0.G22Trello.model,Board,getBoardID,3,1,0,66,0,,
G22Trelo,com0.G22Trello.model,Board,setBoardID,3,1,1,70,0,,
G22Trelo,com0.G22Trello.model,Board,getMilestoneAndIteration,3,1,0,74,0,,
G22Trelo,com0.G22Trello.model,Board,setMilestoneAndIteration,3,1,1,78,0,,
G22Trelo,com0.G22Trello.model,Board,getTitle,3,1,0,82,0,,
G22Trelo,com0.G22Trello.model,Board,setTitle,3,1,1,86,0,,
G22Trelo,com0.G22Trello.model,Board,getDateCreated,3,1,0,90,0,,
G22Trelo,com0.G22Trello.model,Board,setDateCreated,3,1,1,94,0,,
G22Trelo,com0.G22Trello.model,Board,getDateToBeCompleted,3,1,0,98,0,,
G22Trelo,com0.G22Trello.model,Board,setDateToBeCompleted,3,1,1,102,0,,
G22Trelo,com0.G22Trello.model,Board,getUsers,3,1,0,106,0,,
G22Trelo,com0.G22Trello.model,Board,setUsers,3,1,1,110,0,,
G22Trelo,com0.G22Trello.model,Task,Task,2,1,0,42,0,,
G22Trelo,com0.G22Trello.model,Task,Task,12,1,9,46,0,,
G22Trelo,com0.G22Trello.model,Task,Task,7,1,5,59,0,,
G22Trelo,com0.G22Trello.model,Task,Task,8,1,6,69,0,,
G22Trelo,com0.G22Trello.model,Task,Task,8,1,6,80,0,,
G22Trelo,com0.G22Trello.model,Task,getUsers,3,1,0,92,0,,
G22Trelo,com0.G22Trello.model,Task,setUsers,3,1,1,96,0,,
G22Trelo,com0.G22Trello.model,Task,getBoard,3,1,0,100,0,,
G22Trelo,com0.G22Trello.model,Task,setBoard,3,1,1,104,0,,
G22Trelo,com0.G22Trello.model,Task,getTaskID,3,1,0,109,0,,
G22Trelo,com0.G22Trello.model,Task,setTaskID,3,1,1,113,0,,
G22Trelo,com0.G22Trello.model,Task,getUserEmail,3,1,0,117,0,,
G22Trelo,com0.G22Trello.model,Task,setUserEmail,3,1,1,121,0,,
G22Trelo,com0.G22Trello.model,Task,getBoardID,3,1,0,125,0,,
G22Trelo,com0.G22Trello.model,Task,setBoardID,3,1,1,129,0,,
G22Trelo,com0.G22Trello.model,Task,getName,3,1,0,133,0,,
G22Trelo,com0.G22Trello.model,Task,setName,3,1,1,137,0,,
G22Trelo,com0.G22Trello.model,Task,getStatus,3,1,0,141,0,,
G22Trelo,com0.G22Trello.model,Task,setStatus,3,1,1,145,0,,
G22Trelo,com0.G22Trello.model,Task,getWeight,3,1,0,149,0,,
G22Trelo,com0.G22Trello.model,Task,setWeight,3,1,1,153,0,,
G22Trelo,com0.G22Trello.model,Task,getCreationDate,3,1,0,157,0,,
G22Trelo,com0.G22Trello.model,Task,setCreationDate,3,1,1,161,0,,
G22Trelo,com0.G22Trello.model,Task,getDueDate,3,1,0,165,0,,
G22Trelo,com0.G22Trello.model,Task,setDueDate,3,1,1,169,0,,
G22Trelo,com0.G22Trello.model,User,User,6,1,4,45,0,,
G22Trelo,com0.G22Trello.model,User,User,4,1,2,52,0,,
G22Trelo,com0.G22Trello.model,User,User,10,1,9,58,0,,
G22Trelo,com0.G22Trello.model,User,User,2,1,0,69,0,,
G22Trelo,com0.G22Trello.model,User,getSecurityAnswer,3,1,0,74,0,,
G22Trelo,com0.G22Trello.model,User,setSecurityAnswer,3,1,1,78,0,,
G22Trelo,com0.G22Trello.model,User,getWorkspaces,3,1,0,81,0,,
G22Trelo,com0.G22Trello.model,User,setWorkspaces,3,1,1,85,0,,
G22Trelo,com0.G22Trello.model,User,getTasks,3,1,0,90,0,,
G22Trelo,com0.G22Trello.model,User,setTasks,3,1,1,94,0,,
G22Trelo,com0.G22Trello.model,User,getName,3,1,0,98,0,,
G22Trelo,com0.G22Trello.model,User,setName,3,1,1,102,0,,
G22Trelo,com0.G22Trello.model,User,getEmail,3,1,0,106,0,,
G22Trelo,com0.G22Trello.model,User,setEmail,3,1,1,110,0,,
G22Trelo,com0.G22Trello.model,User,getPassword,3,1,0,114,0,,
G22Trelo,com0.G22Trello.model,User,setPassword,3,1,1,118,0,,
G22Trelo,com0.G22Trello.model,User,getBoards,3,1,0,122,0,,
G22Trelo,com0.G22Trello.model,User,setBoards,3,1,1,126,0,,
G22Trelo,com0.G22Trello.model,User,getRole,3,1,0,130,0,,
G22Trelo,com0.G22Trello.model,User,setRole,3,1,1,134,0,,
G22Trelo,com0.G22Trello.model,User,isLoggedIn,3,1,0,138,0,,
G22Trelo,com0.G22Trello.model,User,setLoggedIn,3,1,1,142,0,,
G22Trelo,com0.G22Trello.model,User,getCreationDate,3,1,0,146,0,,
G22Trelo,com0.G22Trello.model,User,setCreationDate,3,1,1,150,0,,
G22Trelo,com0.G22Trello.model,User,getLastLoginDate,3,1,0,154,0,,
G22Trelo,com0.G22Trello.model,User,setLastLoginDate,3,1,1,158,0,,
G22Trelo,com0.G22Trello.model,User,getTimeSpentLogin,3,1,0,162,0,,
G22Trelo,com0.G22Trello.model,User,setTimeSpentLogin,3,1,1,166,0,,
G22Trelo,com0.G22Trello.model,Workspace,Workspace,5,1,2,19,0,,
G22Trelo,com0.G22Trello.model,Workspace,Workspace,4,1,1,25,0,,
G22Trelo,com0.G22Trello.model,Workspace,Workspace,3,1,0,40,0,,
G22Trelo,com0.G22Trello.model,Workspace,getUsers,3,1,0,44,0,,
G22Trelo,com0.G22Trello.model,Workspace,setUsers,3,1,1,48,0,,
G22Trelo,com0.G22Trello.model,Workspace,getBoards,3,1,0,52,0,,
G22Trelo,com0.G22Trello.model,Workspace,setBoards,3,1,1,56,0,,
G22Trelo,com0.G22Trello.model,Workspace,getWorkspaceID,3,1,0,61,0,,
G22Trelo,com0.G22Trello.model,Workspace,setWorkspaceID,3,1,1,65,0,,
G22Trelo,com0.G22Trello.model,Workspace,getCreationDate,3,1,0,69,0,,
G22Trelo,com0.G22Trello.model,Workspace,setCreationDate,3,1,1,73,0,,
G22Trelo,com0.G22Trello.model,Workspace,getWorkspaceTitle,3,1,0,77,0,,
G22Trelo,com0.G22Trello.model,Workspace,setWorkspaceTitle,3,1,1,81,0,,
G22Trelo,com0.G22Trello.model,Workspace,addBoard,4,1,1,85,0,,
G22Trelo,com0.G22Trello.model,Workspace,removeBoard,4,1,1,90,0,,
G22Trelo,com0.G22Trello.repository,UserRepository,findByEmail,0,1,1,12,0,,
G22Trelo,com0.G22Trello.repository,WorkspaceRepository,findByWorkspaceTitle,0,1,1,16,0,,
G22Trelo,com0.G22Trello.service,BoardService,BoardService,4,1,2,22,0,,
G22Trelo,com0.G22Trello.service,BoardService,createBoard,12,2,2,35,0,,
G22Trelo,com0.G22Trello.service,BoardService,updateBoard,14,2,2,50,0,,
G22Trelo,com0.G22Trello.service,BoardService,addUserToBoard,24,4,2,66,0,,
G22Trelo,com0.G22Trello.service,BoardService,removeUserFromBoard,24,4,2,94,0,,
G22Trelo,com0.G22Trello.service,BoardService,deleteBoard,10,2,1,124,0,,
G22Trelo,com0.G22Trello.service,BoardService,getBoardById,4,1,1,134,0,,
G22Trelo,com0.G22Trello.service,BoardService,getAllBoards,3,1,0,139,0,,
G22Trelo,com0.G22Trello.service,BoardService,BoardService,3,1,1,144,0,,
G22Trelo,com0.G22Trello.service,TaskService,TaskService,3,1,1,40,0,,
G22Trelo,com0.G22Trello.service,TaskService,setUserRepository,3,1,1,49,0,,
G22Trelo,com0.G22Trello.service,TaskService,createTask,10,3,1,64,0,com0.G22Trello.service.TaskService,com0.G22Trello.service.TaskService
G22Trelo,com0.G22Trello.service,TaskService,updateTask,14,3,2,86,0,com0.G22Trello.service.TaskService,com0.G22Trello.service.TaskService
G22Trelo,com0.G22Trello.service,TaskService,changeTaskStatus,13,3,2,122,0,,
G22Trelo,com0.G22Trello.service,TaskService,assignMemberToTask,24,4,2,155,0,,
G22Trelo,com0.G22Trello.service,TaskService,getTaskByID,4,1,1,207,0,,
G22Trelo,com0.G22Trello.service,TaskService,dueDataValidation,3,1,2,216,0,,
G22Trelo,com0.G22Trello.service,UserService,updateUser,14,2,1,26,0,,
G22Trelo,com0.G22Trello.service,UserService,signUp,19,4,1,42,0,com0.G22Trello.service.UserService,com0.G22Trello.service.UserService
G22Trelo,com0.G22Trello.service,UserService,findUserByEmail,3,1,1,65,0,,
G22Trelo,com0.G22Trello.service,UserService,resetPassword,14,4,1,70,0,com0.G22Trello.service.UserService,com0.G22Trello.service.UserService
G22Trelo,com0.G22Trello.service,UserService,logIn,10,3,1,90,0,com0.G22Trello.service.UserService,com0.G22Trello.service.UserService
G22Trelo,com0.G22Trello.service,UserService,validatePassword,7,2,1,106,0,,
G22Trelo,com0.G22Trello.service,UserService,logOut,4,1,1,115,0,,
G22Trelo,com0.G22Trello.service,UserService,getUserWorkspaces,7,2,1,120,0,,
G22Trelo,com0.G22Trello.service,UserService,getUserBoards,12,3,1,129,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,WorkspaceService,4,1,2,19,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,createWorkspace,20,3,2,28,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,updateWorkspace,18,4,2,49,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,addUserToWorkspace,24,4,2,71,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,deleteUserFromWorkspace,24,4,2,98,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,getWorkspaceById,3,1,1,127,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,getAllWorkspaces,3,1,0,131,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,getWorkspaceUsers,7,2,1,135,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,WorkspaceService,3,1,1,145,0,,
G22Trelo,com0.G22Trello.service,WorkspaceService,setUserRepository,3,1,1,150,0,,
